reporting,partner,partner type,year,import,export,total,currency,source
UnitedKingdom,CapeVerde,,1831,,215,215,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,ChannelIs._IsleofMan,,1831,,324631,324631,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Chile,,1831,,651617,651617,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,ChinaPeople'sRepublicofChina_EastIndiaCompany_SriLankaCeylon,,1831,,3377412,3377412,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,ColombiaGranColombia,,1831,,248250,248250,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Denmark,,1831,,92294,92294,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,EgyptUnitedArabRepublic,,1831,,122832,122832,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,France,,1831,,602688,602688,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Germany,,1831,,3642952,3642952,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Gibraltar,,1831,,367285,367285,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Haiti,,1831,,376103,376103,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,IndianOceanIslandsother_Java_Sumatra,,1831,,285296,285296,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,IonianIs.,,1831,,50883,50883,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,IonianIs._Morea,,1831,,10446,10446,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Italy,,1831,,2490376,2490376,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,MadeiraIsles,,1831,,38960,38960,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Malta,,1831,,134519,134519,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Mauritius,,1831,,148475,148475,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Mexico,,1831,,728858,728858,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,NewZealand_PacificIslands,,1831,,4752,4752,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Norway,,1831,,58580,58580,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Peru,,1831,,409003,409003,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Philippines,,1831,,39518,39518,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Portugal,,1831,,973991,973991,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Prussia,,1831,,192816,192816,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,RussiaUSSR,,1831,,1191565,1191565,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,St.Helena,,1831,,39431,39431,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Sweden,,1831,,57127,57127,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Turkey,,1831,,898654,898654,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,UnitedStatesofAmerica,,1831,,9053583,9053583,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,ViceroyaltyofLaPlata,,1831,,339870,339870,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,WestAfrica,,1831,,234768,234768,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,WorldFedericoTena,,1831,55658451.3750829,37441128.2306163,93099579.60569921,sterling pound,FEDERICO-TENA
UnitedKingdom,Worldasreported,,1831,,37164372,37164372,sterling pound,"House of Commons Parliamentary Papers - Tables showing the Trade of the United Kingdom with different Foreign Countries and British Possessions, 1831-1840 (BNF : MICROFICHE M-15006 mf 46.264-268)"
UnitedKingdom,Worldestimated,,1831,55300000,,55300000,sterling pound,"B.R. Mitchell, British Historical Statistics (2011)"
