"reporting","partner","partner type","year","import","export","total","currency","source"
"France","Algeria",,1858,28600000,96600000,125200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Austria",,1858,12100000,9700000,21800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","BarbaryCoast",,1858,9500000,5300000,14800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Belgium",,1858,148900000,165900000,314800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Bolivia",,1858,100000,100000,200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Brazil",,1858,18200000,50900000,69100000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Bremen_Hamburg_Lubeck",,1858,10900000,15500000,26400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","BritishAfrica",,1858,11500000,16800000,28300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","BritishAmerica",,1858,400000,1700000,2100000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Chile",,1858,7900000,18000000,25900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","ChinaPeople'sRepublicofChina_CochinChina_Oceania",,1858,5300000,5800000,11100000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","ColombiaGranColombia",,1858,1200000,4600000,5800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Denmark",,1858,500000,1200000,1700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Ecuador",,1858,200000,1000000,1200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","EgyptUnitedArabRepublic",,1858,10800000,11800000,22600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","FrenchGuyana",,1858,400000,4500000,4900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","FrenchIndia",,1858,11100000,700000,11800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","GermanyZollverein",,1858,94300000,132600000,226900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Greece",,1858,5200000,6800000,12000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Guadeloupe",,1858,19200000,18500000,37700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Guatemala",,1858,2900000,800000,3700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Haiti",,1858,12400000,3200000,15600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","India",,1858,66900000,8800000,75700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","IndonesiaDutchEastIndies",,1858,11400000,1200000,12600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Italy",,1858,160100000,147300000,307400000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Martinique",,1858,22400000,22200000,44600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","MecklenburgSchwerin",,1858,0,200000,200000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Mexico",,1858,5000000,11300000,16300000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Netherlands",,1858,32800000,22700000,55500000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","NetherlandsAntilles",,1858,200000,300000,500000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Norway",,1858,21300000,2300000,23600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","PapalStates",,1858,7400000,8200000,15600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Peru",,1858,22500000,31200000,53700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Philippines",,1858,1300000,500000,1800000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Portugal",,1858,4500000,11500000,16000000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Reunion",,1858,36200000,30700000,66900000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","RussiaUSSR",,1858,64600000,25500000,90100000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Senegal",,1858,6500000,9200000,15700000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
"France","Spain",,1858,49400000,112200000,161600000,"french franc","Tableau décennal du commerce de la France avec ses colonies et les puissances étrangères, 1857-1866, vol. 1."
